baseline,language,taskset,execution,chunk_size,nrow,time
ByteBufferJava,Java,false,Total,500000,3500000,208209
ByteBufferJava,Java,false,IO,500000,3500000,70793
ByteBufferJava,Java,true,Total,500000,3500000,229354
ByteBufferJava,Java,true,IO,500000,3500000,74319
JsonJava,Java,false,Total,500000,3500000,1340990
JsonJava,Java,false,IO,500000,3500000,123729
JsonJava,Java,true,Total,500000,3500000,1278004
JsonJava,Java,true,IO,500000,3500000,133995
FlatBuffersJava,Java,false,Total,500000,3500000,134074
FlatBuffersJava,Java,false,IO,500000,3500000,86700
FlatBuffersJava,Java,true,Total,500000,3500000,141832
FlatBuffersJava,Java,true,IO,500000,3500000,91612
HandcodedCPP,CPP,false,IO,500000,3500000,34308
HandcodedCPP,CPP,false,Total,500000,3500000,89574
HandcodedCPP,CPP,true,Total,500000,3500000,77735
HandcodedCPP,CPP,true,IO,500000,3500000,41898
inPlaceCPP,CPP,false,IO,500000,3500000,86474
inPlaceCPP,CPP,false,Total,500000,3500000,101411
inPlaceCPP,CPP,true,Total,500000,3500000,98451
inPlaceCPP,CPP,true,IO,500000,3500000,84857
BoostCPP,CPP,false,IO,500000,3500000,37423
BoostCPP,CPP,false,Total,500000,3500000,431500
BoostCPP,CPP,true,Total,500000,3500000,434672
BoostCPP,CPP,true,IO,500000,3500000,47483
ProtoBufCPP,CPP,false,IO,500000,3500000,31507
ProtoBufCPP,CPP,false,Total,500000,3500000,134176
ProtoBufCPP,CPP,true,Total,500000,3500000,124612
ProtoBufCPP,CPP,true,IO,500000,3500000,39733
BsonCPP,CPP,false,IO,500000,3500000,130351
BsonCPP,CPP,false,Total,500000,3500000,2282534
BsonCPP,CPP,true,Total,500000,3500000,2255669
BsonCPP,CPP,true,IO,500000,3500000,129490
FlatBufCPP,CPP,false,IO,500000,3500000,77215
FlatBufCPP,CPP,false,Total,500000,3500000,110428
FlatBufCPP,CPP,true,Total,500000,3500000,112692
FlatBufCPP,CPP,true,IO,500000,3500000,77576
